                      (*)   mesure a 300k
                      (**)  isomere le plus stable
                      (***) enthalpie inconnue
87 88 h       h       h2                             5.00e-17  0.5      0.00   0 !
  -                   -
  -                   - cosmic-ray direct processes
  -                   -
jan11 hcn     h       n       ch2                    3.93E-09  -.50 61703.00   4 !     0     0 -  >INV OSU2003 (2000HER)
jan11 n       ch2     hnc     h                      4.02E-11   .17      .00   4 !     0     0 -  OSU2003 (2000HER)
jan11 hnc     h       n       ch2                    2.24E-09  -.54 54510.00   4 !     0     0 -  >INV OSU2003 (2000HER)
jan11 n       ch2     nh      ch                     9.96E-13   .00 20382.00   4 !  1000  4000 -  NIST 1967MAY
jan11 nh      ch      n       ch2                    1.19E-13   .07  9588.00   4 !  1000  4000 -  >INV NIST 1967MAY
jan11 s       c2      cs      c                      1.00E-10   .00      .00   4 !     0     0 -  OSU2003 (O+C2)
jan11 cs      c       s       c2                     1.25E-10   .27 13437.00   4 !     0     0 -  >INV OSU2003 (O+C2)
jan11 s       oh      so      h                      6.59E-11   .00      .00   4 !   298   298 -  NIST 1997DEM
jan11 so      h       s       oh                     8.09E-10  -.45 11193.00   4 !   298   298 -  >INV NIST 1997DEM
jan11 s       h2s     sh      sh                     1.38E-10   .00  3701.00   4 !  1050  1540 -  LEEDS 01GLA/ALZ
jan11 s       ch4     sh      ch3                    3.39E-10   .00 10019.00   4 !  1140  1480 -  NIST 1996TSU
jan11 s       c3      c2      cs                     5.00E-12   .00   900.00   4 !    10   300 -  assumed equal to O+C3=CO+C2 as in 1998CHE
jan11 c2      cs      s       c3                     2.14E-12   .01  1497.00   4 !    10   300 -  >INV assumed equal to O+C3=CO+C2 as in 1998CHE
jan11 s       nh3     nh2     sh                     2.48E-13  1.81  2194.00   4 !   298  2500 -  assumed equal to O+NH3=OH+NH2 as in 1998CHE
jan11 s       hcn     sh      cn                     6.21E-10   .00 12441.00   4 !   300  4000 -  assumed equal to O+HCN=OH+CN as in 1998CHE
jan11 s       ch      cs      h                      6.59E-11   .00      .00   4 !   295  2000 -  assumed equal to O+CH=CO+H as in OSU2003
jan11 cs      h       s       ch                     1.79E-09  -.13 45147.00   4 !   295  2000 -  >INV assumed equal to O+CH=CO+H as in OSU2003
jan11 s       ch      sh      c                      2.52E-11   .00  2381.00   4 !    10  6000 -  assumed equal to O+CH=OH+C
jan11 sh      c       s       ch                     1.49E-11   .10  4089.00   4 !    10  6000 -  >INV assumed equal to O+CH=OH+C
jan11 s       ch2     cs      h2                     8.30E-11   .00      .00   4 !  1900  2600 -  assumed equal to O+CH2=CO+H2 as in OSU2003
jan11 cs      h2      s       ch2                    9.15E-10   .05 46607.00   4 !  1900  2600 -  >INV assumed equal to O+CH2=CO+H2 as in OSU2003
jan11 s       ch3     h2cs    h                      1.40E-10   .00      .00   4 !   300  2500 -  assumed equal to O+CH3=H2CO+H as in OSU2003
jan11 h2cs    h       s       ch3                    9.31E-10  -.42 11170.00   4 !   300  2500 -  >INV assumed equal to O+CH3=H2CO+H as in OSU2003
jan11 s       so2     so      so                     9.76E-12   .00  4545.00   4 !  1250  1600 -  NIST 2003ISS
jan11 ch      o2      hco     o                      7.11E-12   .42    40.00   4 !    13  3500 -  2001BER (branching ratio 0.2)
jan11 hco     o       ch      o2                     1.62E-11   .18 36830.00   4 !    13  3500 -  >INV 2001BER (branching ratio 0.2)
jan11 ch      o2      co      o       h              1.07E-11   .42    40.00   4 !    13  3500 -  2001BER (branching ratio 0.3)
jan11 ch      o2      co2     h                      1.07E-11   .42    40.00   4 !    13  3500 -  2001BER (branching ratio 0.3)
jan11 co2     h       ch      o2                     3.94E-08  -.36 93161.00   4 !    13  3500 -  >INV 2001BER (branching ratio 0.3)
jan11 ch      o2      co      oh                     7.11E-12   .42    40.00   4 !    13  3500 -  2001BER (branching ratio 0.2)
jan11 co      oh      ch      o2                     8.55E-12   .84 80363.00   4 !    13  3500 -  >INV 2001BER (branching ratio 0.2)
sep15 ch      so      co      sh                     9.00E-11   .00      .00   4 !    10  300  -  KIDA (update september 2015)
sep15 ch      so      ocs     h                      1.10E-10   .00      .00   4 !    10  300  -  KIDA (update september 2015)
jan11 co      sh      ch      so                     3.87E-11   .34 68373.00   4 !     0     0 -  >INV LEEDS 89PFE/CHU estimation
jan11 ch      c2h3    ch2     c2h2                   8.30E-11   .00      .00   4 !     0     0 -  AK 1989data
jan11 ch2     c2h2    ch      c2h3                   6.55E-10   .11 33188.00   4 !     0     0 -  >INV AK 1989data
jan11 ch      ch4     c2h4    h                      1.06E-10 -1.03    35.00   4 !    23   750 -  NIST fit to 1997CAN & 2005BAU (2002FLE: 100% branching ratio at 330K)
jan11 c2h4    h       ch      ch4                    1.73E-08 -1.77 30483.00   4 !    23   750 -  detailed balance
jan11 ch      ch      c2h     h                      2.49E-10   .00      .00   4 !   298   298 -  1992DEA & NIST 1999BER (branching ratio >0.9)
jan11 c2h     h       ch      ch                     6.30E-08  -.90 49101.00   4 !   298   298 -  >INV 1992DEA & NIST 1999BER (branching ratio >0.9)
jan11 ch      ch2     c2h2    h                      6.64E-11   .00      .00   4 !     0     0 -  AK 1970data
jan11 c2h2    h       ch      ch2                    6.21E-07 -1.33 65701.00   4 !     0     0 -  >INV AK 1970data
jan11 ch      ch3     c2h3    h                      4.98E-11   .00      .00   4 !     0     0 -  AK 1986data
jan11 c2h3    h       ch      ch3                    6.69E-09 -1.05 27551.00   4 !     0     0 -  >INV AK 1986data
jan11 ch2     c2h2    c-c3h2  h2                     5.00E-12   .00  3332.00   4 !   296   700 -  2000MOS (from NIST 1998BOH & an assumed branching ratio, assumed cyclic isomer)
jan11 c-c3h2  h2      ch2     c2h2                   2.55E-10  -.19 20521.00   4 !   296   700 -  >INV 2000MOS (from NIST 1998BOH & an assumed branching ratio, assumed cyclic isomer)
jan11 ch2     c2h2    c3h3    h                      1.50E-11   .00  3332.00   4 !   296   700 -  2000MOS (from NIST 1998BOH & an assumed branching ratio)
jan11 c3h3    h       ch2     c2h2                   1.18E-09 -1.33 10341.00   4 !   296   700 -  >INV 2000MOS (from NIST 1998BOH & an assumed branching ratio)
jan11 ch2     c2h     ch      c2h2                   3.01E-11   .00      .00   4 !   300  2500 -  NIST 1986TSA
jan11 ch      c2h2    ch2     c2h                    1.11E-09  -.43 16600.00   4 !   300  2500 -  >INV NIST 1986TSA
jan11 ch2     c2h3    c2h2    ch3                    3.01E-11   .00      .00   4 !   300  2500 -  NIST 1986TSA
jan11 c2h2    ch3     ch2     c2h3                   2.09E-09  -.28 38150.00   4 !   300  2500 -  >INV NIST 1986TSA
jan11 ch2     ch4     ch3     ch3                    7.14E-12   .00  5052.00   4 !   296   707 -  NIST 1985BOH
jan11 ch2     ch2     c2h2    h       h              3.32E-10   .00  5531.00   4 !  1100  2700 -  NIST 1995BAU
jan11 ch2     ch2     c2h2    h2                     6.16E-11   .00   136.00   4 !   298  2700 -  NIST fit to all data
jan11 c2h2    h2      ch2     ch2                    2.33E-07 -1.15 67297.00   4 !   298  2700 -  >INV NIST fit to all data
jan11 ch2     ch2     ch3     ch                     3.99E-10   .00  5001.00   4 !  1600  2300 -  NIST 1984FRA
jan11 ch3     ch      ch2     ch2                    3.51E-09  -.39  9963.00   4 !  1600  2300 -  >INV NIST 1984FRA
jan11 ch2     ch2     c2h3    h                      3.32E-11   .00      .00   4 !  1600  2300 -  NIST 1984FRA
jan11 c2h3    h       ch2     ch2                    3.93E-08 -1.44 32513.00   4 !  1600  2300 -  >INV NIST 1984FRA
jan11 ch2     ch3     c2h4    h                      2.09E-10   .00      .00   4 !   300   300 -  NIST 2001WAN (experimental, low P)
jan11 c2h4    h       ch2     ch3                    1.35E-06 -1.21 32850.00   4 !   300   300 -  >INV NIST 2001WAN (experimental, low P)
jan11 ch3     h2s     sh      ch4                    1.42E-13  1.15  1048.00   4 !   200  3000 -  fit to 2003MOU(theor-high T) & NIST(exp-low T)
jan11 sh      ch4     ch3     h2s                    2.73E-12   .87  8397.00   4 !   200  3000 -  >INV fit to 2003MOU(theor-high T) & NIST(exp-low T)
jan11 ch3     sh      s       ch4                    3.27E-14  2.20  2240.00   4 !   298  2500 -  assumed equal to OH+CH3=O+CH4
jan11 ch3     c2h4    ch4     c2h3                   6.91E-12   .00  5601.00   4 !   400  3000 -  NIST 1992BAU
jan11 ch3     ch3     c2h4    h2                     7.84E-09   .00 15506.00   4 !  1300  2651 -  NIST fit to all data except 1990HID
jan11 c2h4    h2      ch3     ch3                    2.19E-06  -.65 44853.00   4 !  1300  2651 -  >INV NIST fit to all data except 1990HID
jan11 ch3     ch3     ch4     ch2                    7.14E-12   .00  5053.00   4 !  1950  2300 -  NIST 1986FRA
jan11 ch4     c2h3    c2h4    ch3                    3.72E-14  3.87  3266.00   4 !   298  2500 -  NIST fit to all data
jan11 c2      n2      cn      cn                     2.49E-11   .00 21002.00   4 !  2900  3420 -  NIST 1997SOM high pressure
jan11 o2      c2      co      co                     1.10E-11   .00   382.00   4 !   298   711 -  NIST 2001FON
jan11 c2      oh      co      ch                     8.30E-12   .00      .00   4 !  2200  2200 -  NIST 1972WIL low pressure
jan11 co      ch      c2      oh                     1.85E-11   .19 46148.00   4 !  2200  2200 -  >INV NIST 1972WIL low pressure
jan11 c2      ch4     c2h     ch3                    1.49E-11   .00      .00   4 !    24   600 -  2008PAR, within a factor of 1.5-2 of all temperatures data, products suggested by 2008PAR
jan11 c2h     ch3     c2      ch4                    9.39E-13  -.13  4855.00   4 !    24   600 -  >INV 2008PAR, within a factor of 1.5-2 of all temperatures data, products suggested by 2008PAR
jan11 c2h     c2h3    c2h2    c2h2                   1.60E-12   .00      .00   4 !   300  2500 -  NIST 1986TSA
jan11 c2h2    c2h2    c2h     c2h3                   4.67E-10  -.32 49788.00   4 !   300  2500 -  >INV NIST 1986TSA
jan11 c2h     ch4     c2h2    ch3                    6.14E-12  1.13   264.00   4 !   154   779 -  NIST fit to 1996OPA & 2000CEU
jan11 c2h2    ch3     c2h     ch4                    5.78E-12  1.17 14462.00   4 !   154   779 -  >INV NIST fit to 1996OPA & 2000CEU
jan11 c4h     ch4     c4h2    ch3                    1.69E-09   .00   619.00   4 !   200   298 -  2008BER
jan11 c4h2    ch3     c4h     ch4                    2.79E-09  -.26 16345.00   4 !   200   298 -  >INV 2008BER
jan11 c2h3    c2h3    c2h4    c2h2                   3.50E-11   .00      .00   4 !   298   298 -  NIST 2004LAU
jan11 c2h4    c2h2    c2h3    c2h3                   1.25E-08  -.06 38486.00   4 !   298   298 -  >INV NIST 2004LAU
jan11 o2      nh      no      oh                     2.54E-14  1.18   312.00   4 !   298  3300 -  NIST fit to 1992MIL & 1996ROM
jan11 no      oh      o2      nh                     7.26E-15  1.35 27705.00   4 !   298  3300 -  >INV NIST fit to 1992MIL & 1996ROM
jan11 o2      nh      hno     o                      6.88E-14  2.07  3281.00   4 !   300  3500 -  NIST fit to 1994BAU & 1992MIL
jan11 hno     o       o2      nh                     2.79E-13  1.63  4248.00   4 !   300  3500 -  >INV NIST fit to 1994BAU & 1992MIL
jan11 o2      nh2     hno     oh                     1.66E-11   .00 13233.00   4 !  1450  2300 -  NIST 1995HEN
jan11 hno     oh      o2      nh2                    1.31E-11  -.18 19312.00   4 !  1450  2300 -  >INV NIST 1995HEN
jan11 o2      cs      ocs     o                      2.62E-16   .00  1862.00   4 !   290   500 -  NIST 1975RIC
jan11 ocs     o       o2      cs                     1.09E-14  -.89 22548.00   4 !   290   500 -  >INV NIST 1975RIC
jan11 o2      cs      co      so                     1.40E-19   .00      .00   4 !   341   415 -  NIST 1971WOO & 1997ATK(ref reaction)
jan11 co      so      o2      cs                     7.56E-20   .10 46369.00   4 !   341   415 -  >INV NIST 1971WOO & 1997ATK(ref reaction)
jan11 o2      sh      so      oh                     1.66E-12   .00  5033.00   4 !     0     0 -  LEEDS 96GLA/KUB (agrees with 298K upper limits in NIST)
jan11 so      oh      o2      sh                     8.57E-13   .08 16982.00   4 !     0     0 -  >INV LEEDS 96GLA/KUB (agrees with 298K upper limits in NIST)
jan11 o2      so      so2     o                      1.11E-14  1.89  1540.00   4 !   200  2980 -  NIST fit to all data
jan11 o2      c2h2    hco     hco                    6.64E-12   .00 14092.00   4 !     0     0 -  AK 1968data
jan11 hco     hco     o2      c2h2                   2.64E-14   .61 31134.00   4 !     0     0 -  >INV AK 1968data
jan11 o2      c2h3    hco     hco     h              9.44E-11 -3.94  2521.00   4 !     0     0 -  EDL-glassman
jan11 o2      ch2     co      oh      h              1.02E-12   .00      .00   4 !   250  1700 -  2005BAU (branching ratio 0.34 from 1994ALV)
jan11 o2      ch2     co2     h       h              1.20E-12   .00      .00   4 !   250  1700 -  2005BAU (branching ratio 0.40 from 1994ALV)
jan11 o2      ch2     h2co    o                      4.82E-13   .00      .00   4 !   250  1700 -  2005BAU (branching ratio 0.16 from 1994ALV)
jan11 h2co    o       o2      ch2                    1.43E-11  -.37 30444.00   4 !   250  1700 -  >INV 2005BAU (branching ratio 0.16 from 1994ALV)
jan11 o2      ch3     h2co    oh                     1.74E-13   .00  2693.00   4 !   259  3000 -  NIST fit to all data after 1974
jan11 h2co    oh      o2      ch3                    1.11E-13   .16 28921.00   4 !   259  3000 -  >INV NIST fit to all data after 1974
jan11 o2      ch3     hco     h2o                    3.54E-12   .00  1459.00   4 !   393  2000 -  NIST 1951MAR & 1969SEE (reaction must have Ea since =PRODUCTS is very low at 298K)
jan11 hco     h2o     o2      ch3                    4.17E-13   .33 42993.00   4 !   393  2000 -  >INV NIST 1951MAR & 1969SEE (reaction must have Ea since =PRODUCTS is very low at 298K)
jan11 oh      co      co2     h                      3.79E-13   .00   186.00   4 !    80  3150 -  NIST fit to all experimental data
jan11 oh      nh      n       h2o                    3.12E-12  1.20      .00   4 !   298  3000 -  NIST 1991COH
jan11 oh      nh      h       hno                    3.32E-11   .00      .00   4 !   298  3000 -  1991COH
jan11 oh      nh      o       nh2                    2.93E-12   .10  5801.00   4 !   298  3000 -  NIST 1991COH
jan11 oh      nh      no      h2                     3.32E-11   .00      .00   4 !     0     0 -  AK 1982ref
jan11 no      h2      oh      nh                     7.28E-10  -.18 36523.00   4 !     0     0 -  >INV AK 1982ref
jan11 oh      nh2     nh      h2o                    1.41E-12  1.25      .00   4 !   250  3000 -  NIST 1991COH (changed to avoid (-) Ea)
jan11 oh      nh2     nh3     o                      3.42E-13   .41   250.00   4 !   500  2500 -  NIST 1992BAU
jan11 oh      hcn     co      nh2                    1.07E-13   .00  5893.00   4 !   500  2500 -  NIST 1988MIL
jan11 co      nh2     oh      hcn                    2.87E-14   .51 17021.00   4 !   500  2500 -  >INV NIST 1988MIL
jan11 oh      hcn     cn      h2o                    2.21E-13  1.83  5180.00   4 !   500  2000 -  NIST 1995WOO
jan11 oh      hnc     cn      h2o                    2.49E-12   .00  3865.00   4 !  1440  2500 -  1997THA NOCHECK
jan11 cn      h2o     oh      hnc                    1.12E-12   .73  7893.00   4 !  1440  2500 -  >INV 1997THA NOCHECK
jan11 oh      hno     h2o     no                     1.77E-12  1.19   168.00   4 !   200  2500 -  NIST 2004NGU ab initio, (muVT result)
jan11 h2o     no      oh      hno                    1.51E-12  1.69 34807.00   4 !   200  2500 -  >INV NIST 2004NGU ab initio, (muVT result)
jan11 oh      hco     co      h2o                    1.69E-10   .00      .00   4 !   300  2500 -  NIST 1992BAU
jan11 co      h2o     oh      hco                    1.14E-09   .56 51745.00   4 !   300  2500 -  >INV NIST 1992BAU
jan11 oh      nh3     nh2     h2o                    1.53E-13  2.05      .00   4 !   225  2360 -  NIST fit to all experimental data after 1973
jan11 oh      h3co    h2co    h2o                    4.00E-11   .00      .00   4 !   300  2500 -  NIST 1987TSA
jan11 h2co    h2o     oh      h3co                   4.45E-10   .46 44559.00   4 !   300  2500 -  >INV NIST 1987TSA
jan11 oh      ch3oh   h3co    h2o                    7.73E-13  1.69      .00   4 !   210   870 -  2005DIL (branching ratio at 298K of 0.85) (changed for avoid (-) Ea) (fig5 suggests Ea)
jan11 h3co    h2o     oh      ch3oh                  1.22E-13  1.85 11223.00   4 !   210   870 -  >INV 2005DIL (branching ratio at 298K of 0.85) (changed for avoid (-) Ea) (fig5 suggests Ea)
sep15 oh      cs      ocs     h                      1.70E-10   .00      .00   4 !    10   300 -  KIDA (update september 2015)
sep15 oh      cs      co      sh                     3.00E-11   .00      .00   4 !    10   300 -  KIDA (update september 2015)
jan11 ocs     h       oh      cs                     1.48E-10  -.15 29902.00   4 !     0     0 -  >INV UMIST99  -REACx  371 -Data L -Err C -Ref LG88
jan11 oh      sh      s       h2o                    1.66E-11   .00      .00   4 !     0     0 -  LEEDS 01GLA/ALZ estimate
jan11 s       h2o     oh      sh                     3.20E-10   .04 17385.00   4 !     0     0 -  >INV LEEDS 01GLA/ALZ estimate
sep15 oh      h2s     h2o     sh                     6.10E-12   .00    80.00   4 !   220   520 -  KIDA (update september 2015)
jan11 h2o     sh      oh      h2s                    7.78E-12   .59 14000.00   4 !   200  3000 -  >INV fit to 2003MOU(theor-high T)& NIST(exp-low T)
jan11 oh      c2h4    c2h3    h2o                    3.40E-11   .00  2990.00   4 !   650  1500 -  NIST 1992BAU
jan11 oh      c2h4    ch3     h2co                   2.32E-12   .00  1636.00   4 !   500  2000 -  2000HIP
jan11 ch3     h2co    oh      c2h4                   3.85E-13   .45  7646.00   4 !   500  2000 -  >INV 2000HIP
jan11 oh      c2h3    c2h2    h2o                    5.00E-11   .00      .00   4 !   300  2500 -  NIST 1986TSA
jan11 c2h2    h2o     oh      c2h3                   9.54E-10   .15 42147.00   4 !   300  2500 -  >INV NIST 1986TSA
jan11 oh      c3h3    c2h3    hco                    2.21E-11   .00      .00   4 !  1150  2130 -  NIST 2003EIT
jan11 c2h3    hco     oh      c3h3                   3.07E-12   .60  5010.00   4 !  1150  2130 -  >INV NIST 2003EIT
jan11 oh      ch4     ch3     h2o                    3.69E-13  2.42  1163.00   4 !   178  3000 -  NIST fit to all data
jan11 oh      ch      hco     h                      1.44E-11   .50  5001.00   4 !   166   300 -  UMIST99  -REACx  107 -Data L -Err C -Ref
jan11 hco     h       oh      ch                     1.17E-09  -.13 50207.00   4 !   166   300 -  >INV UMIST99  -REACx  107 -Data L -Err C -Ref
jan11 oh      ch2     ch      h2o                    1.69E-12  2.00  1510.00   4 !     0     0 -  AK 1989ref
jan11 ch      h2o     oh      ch2                    4.08E-12  2.04 10469.00   4 !     0     0 -  >INV AK 1989ref
jan11 oh      ch2     h2co    h                      2.61E-11   .00      .00   4 !  1887  2164 -  2004KRA
jan11 h2co    h       oh      ch2                    2.78E-08  -.76 38861.00   4 !  1887  2164 -  >INV 2004KRA
jan11 oh      ch2     o       ch3                    1.44E-11   .50  3001.00   4 !     0     0 -  UMIST99  -REACx  178 -Data L -Err C -Ref
jan11 o       ch3     oh      ch2                    6.75E-10  -.03  7216.00   4 !     0     0 -  >INV UMIST99  -REACx  178 -Data L -Err C -Ref
jan11 oh      ch3     ch2     h2o                    4.98E-14  3.00  1399.00   4 !   200  2250 -  NIST 1998WIL
jan11 ch2     h2o     oh      ch3                    1.36E-14  3.43  5396.00   4 !   200  2250 -  >INV NIST 1998WIL
jan11 oh      ch3     h2co    h2                     5.31E-15   .00  2530.00   4 !   200  1200 -  1997DEA
jan11 h2co    h2      oh      ch3                    2.60E-13  -.19 37889.00   4 !   200  1200 -  >INV 1997DEA
jan11 oh      ch3     h3co    h                      1.99E-14   .00  6991.00   4 !   200  1200 -  1997DEA
jan11 oh      ch3     o       ch4                    3.27E-14  2.20  2240.00   4 !   298  2500 -  NIST 1991COH
jan11 h2o     ch3     ch4     oh                     2.32E-15  3.47  6683.00   4 !   300  3000 -  NIST fit to all data
jan11 h2o     c2h     c2h2    oh                     7.87E-14  3.05   376.00   4 !   300  2000 -  2005CAR
jan11 h2o     c2h3    c2h4    oh                     1.22E-14  2.90  7479.00   4 !   300  2500 -  NIST 1986TSA
jan11 h2o     hco     h2co    oh                     8.62E-13  1.35 13147.00   4 !   300  2500 -  NIST 1986TSA
jan11 h2o     nh      hno     h2                     3.32E-11   .00  6971.00   4 !  1300  1900 -  NIST 1994ROH(=PRODUCTS ; agrees very well with expresion from reverse)
jan11 h2o     nh      nh2     oh                     1.83E-12  1.60 14092.00   4 !   600  3000 -  NIST 1991COH
jan11 h2o     n2      no      nh2                    8.11E-10 -2.05 63143.00   4 !   400  1900 -  detailed balance
jan11 co      o2      co2     o                      8.09E-12   .00 23880.00   4 !   300  6000 -  NIST fit to all data
jan11 co2     o       co      o2                     6.57E-10  -.82 28262.00   4 !   300  6000 -  >INV NIST fit to all data
jan11 co      ch3     c2h2    oh                     6.31E-11   .00 30431.00   4 !  1500  1900 -  NIST 1981TSU
jan11 co      hno     nh      co2                    3.32E-12   .00  6193.00   4 !  1200  1900 -  NIST 1994ROH
jan11 nh      co2     co      hno                    6.66E-11  -.38  9608.00   4 !  1200  1900 -  >INV NIST 1994ROH
jan11 co      sh      ocs     h                      4.15E-14   .00  7662.00   4 !   300   873 -  NIST 1995KUR
jan11 co      so2     so      co2                    4.48E-12   .00 24311.00   4 !     0     0 -  NIST 1971BAU (products assumed as in LEEDS)
jan11 so      co2     co      so2                    2.72E-11  -.35 22212.00   4 !     0     0 -  >INV NIST 1971BAU (products assumed as in LEEDS)
jan11 co2     ch2     h2co    co                     1.40E-14   .00      .00   4 !   295  2500 -  NIST 1995DAR lower limit & 1986TSA
jan11 h2co    co      co2     ch2                    5.13E-15   .45 26062.00   4 !   295  2500 -  >INV NIST 1995DAR lower limit & 1986TSA
jan11 hco     hno     h2co    no                     1.00E-12   .00  1000.00   4 !   300  2500 -  NIST 1991TSA
jan11 hco     hco     h2      co      co             3.64E-11   .00      .00   4 !   303   376 -  NIST 1968YEE
jan11 hco     hco     h2co    co                     4.48E-11   .00      .00   4 !   295   820 -  NIST 2002FRI
jan11 h2co    co      hco     hco                    1.63E-09   .39 36440.00   4 !   295   820 -  >INV NIST 2002FRI
jan11 hco     h3co    ch3oh   co                     2.01E-10   .00      .00   4 !   300  2500 -  NIST 1987TSA
jan11 ch3oh   co      hco     h3co                   8.61E-09   .40 40522.00   4 !   300  2500 -  >INV NIST 1987TSA
jan11 hco     h3co    h2co    h2co                   3.01E-10   .00      .00   4 !   300  2500 -  NIST 1987TSA
jan11 h2co    h2co    hco     h3co                   1.80E-08   .29 29254.00   4 !   300  2500 -  >INV NIST 1987TSA
jan11 hco     ch3oh   h3co    h2co                   2.45E-13  2.90  6597.00   4 !   300  2500 -  NIST 1987TSA
jan11 hco     ch      co      ch2                    2.87E-12   .70   500.00   4 !    16   300 -  UMIST99  -REACx  109 -Data L -Err C -Ref
jan11 co      ch2     hco     ch                     7.58E-12  1.21 43286.00   4 !    16   300 -  >INV UMIST99  -REACx  109 -Data L -Err C -Ref
jan11 hco     ch2     ch3     co                     3.01E-11   .00      .00   4 !   300  2500 -  NIST 1986TSA ## CHECK IN 1986TSA IF CH2 IS SINGLET OR TRIPLET
jan11 ch3     co      hco     ch2                    7.40E-10   .13 47748.00   4 !   300  2500 -  >INV NIST 1986TSA ## CHECK IN 1986TSA IF CH2 IS SINGLET OR TRIPLET
jan11 hco     ch3     ch4     co                     4.40E-11   .00      .00   4 !   300  2500 -  NIST (1987MUL=>298K value & 1986TSA=>AT,k=cte)
jan11 ch4     co      hco     ch3                    4.83E-09   .05 45188.00   4 !   300  2500 -  >INV NIST (1987MUL=>298K value & 1986TSA=>AT,k=cte)
jan11 hco     ch4     h2co    ch3                    1.39E-13  2.85 11331.00   4 !   300  2500 -  NIST 1986TSA
jan11 hco     c2h     c2h2    co                     1.00E-10   .00      .00   4 !   300  2500 -  NIST 1986TSA
jan11 c2h2    co      hco     c2h                    1.03E-08   .09 59386.00   4 !   300  2500 -  >INV NIST 1986TSA
jan11 hco     c2h3    c2h4    co                     1.50E-10   .00      .00   4 !   300  2500 -  NIST 1986TSA
jan11 c2h4    co      hco     c2h3                   1.90E-08   .35 48084.00   4 !   300  2500 -  >INV NIST 1986TSA
jan11 h2co    h3co    ch3oh   hco                    7.86E-14  2.80  2950.00   4 !   300  2500 -  NIST 1987TSA
jan11 h2co    ch2     hco     ch3                    3.30E-13   .00  3270.00   4 !     0     0 -  UMIST99  -REACx  186 -Data L -Err C -Ref
jan11 hco     ch3     h2co    ch2                    2.23E-13  -.26 14579.00   4 !     0     0 -  >INV UMIST99  -REACx  186 -Data L -Err C -Ref
jan11 h2co    ch3     ch4     hco                    1.34E-15  5.05  1636.00   4 !   300  2500 -  NIST fit to all data
jan11 h2co    c2h3    c2h4    hco                    8.22E-14  2.81  2950.00   4 !   300  2500 -  NIST 1986TSA
jan11 c2h4    hco     h2co    c2h3                   3.02E-13  2.78 14595.00   4 !   300  2500 -  >INV NIST 1986TSA
jan11 h3co    h3co    ch3oh   h2co                   8.00E-12   .00      .00   4 !   300  2500 -  NIST 1987TSA
jan11 ch3oh   h2co    h3co    h3co                   5.66E-10   .30 33336.00   4 !   300  2500 -  >INV NIST 1987TSA
jan11 h3co    h3co    h2co    h2co    h2             3.06E-11  -.70      .00   4 !     0     0 -  AK ?
jan11 h3co    ch2     c2h4    oh                     4.00E-11   .00      .00   4 !   300  2500 -  NIST 1987TSA
jan11 c2h4    oh      h3co    ch2                    9.82E-09  -.42 34552.00   4 !   300  2500 -  >INV NIST 1987TSA
jan11 h3co    ch2     ch3     h2co                   2.01E-12   .00      .00   4 !   300  2500 -  NIST 1987TSA
jan11 ch3     h2co    h3co    ch2                    8.64E-11   .04 40562.00   4 !   300  2500 -  >INV NIST 1987TSA
jan11 h3co    ch3     ch4     h2co                   1.41E-10   .00      .00   4 !   300  2500 -  NIST 1988PAG & k=cte from 1987TSA
jan11 ch4     h2co    h3co    ch3                    2.55E-08  -.05 38002.00   4 !   300  2500 -  >INV NIST 1988PAG & k=cte from 1987TSA
jan11 h3co    ch4     ch3oh   ch3                    5.21E-15  5.00  7476.00   4 !   300  2000 -  NIST 1999JOD (erratum in NIST)
jan11 h3co    c2h2    c2h3    h2co                   1.20E-12   .00  4531.00   4 !   300  2500 -  NIST 1987TSA
jan11 c2h3    h2co    h3co    c2h2                   7.41E-13   .32  6944.00   4 !   300  2500 -  >INV NIST 1987TSA
jan11 h3co    c2h3    c2h4    h2co                   5.00E-11   .00      .00   4 !   300  2500 -  NIST 1987TSA
jan11 c2h4    h2co    h3co    c2h3                   1.10E-08   .26 40899.00   4 !   300  2500 -  >INV NIST 1987TSA
jan11 ch3oh   ch2     ch3     h3co                   4.47E-15  3.20  3609.00   4 !   300  2500 -  NIST 1987TSA
jan11 ch3     h3co    ch3oh   ch2                    2.57E-15  2.93 10836.00   4 !   300  2500 -  >INV NIST 1987TSA
jan11 ch3oh   ch3     ch4     h3co                   1.40E-15  4.90  3380.00   4 !   300  2000 -  NIST 1999JOD (erratum in NIST)
jan11 ch3oh   c2h     c2h2    h3co                   1.00E-11   .00      .00   4 !   300  2500 -  NIST 1987TSA
jan11 c2h2    h3co    ch3oh   c2h                    2.41E-11  -.31 18864.00   4 !   300  2500 -  >INV NIST 1987TSA
jan11 ch3oh   c2h3    c2h4    h3co                   4.47E-15  3.20  3609.00   4 !   300  2500 -  NIST 1987TSA
jan11 c2h4    h3co    ch3oh   c2h3                   1.40E-14  3.16 11172.00   4 !   300  2500 -  >INV NIST 1987TSA
jan11 n2      ch2     hcn     nh                     8.00E-12   .00 18002.00   4 !  1500  2000 -  NIST 1987SAN
jan11 hcn     nh      n2      ch2                    2.27E-11  -.56  6086.00   4 !  1500  2000 -  >INV NIST 1987SAN
jan11 nh      hno     nh2     no                     1.44E-11   .50      .00   4 !     0     0 -  AK 1984ref
jan11 nh2     no      nh      hno                    5.18E-12   .85 21313.00   4 !     0     0 -  >INV AK 1984ref
