                      (*)   mesure a 300k
                      (**)  isomere le plus stable
                      (***) enthalpie inconnue
87 88 h       h       h2                             5.00e-17  0.5      0.00   0 !
  -                   -
  -                   - cosmic-ray direct processes
  -                   -
anh16 h2co    phosec  co      h2                     1.32E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 h2co    phosec  h2co+   electr                 2.93E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 h2o     phosec  oh      h                      1.02E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 h2o     phosec  h2o+    electr                 2.32E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 h2o2    phosec  oh      oh                     8.28E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 h2s     phosec  s       h2                     3.35E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 h2s     phosec  h2s+    electr                 6.22E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 h3+     phosec  h+      h2                     2.33E-01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 hcn     phosec  cn      h                      1.98E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 hcn     phosec  hcn+    electr                 1.42E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 hco     phosec  co      h                      5.29E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 hco+    phosec  h       co+                    3.35E+00  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ho2     phosec  o2      h                      1.89E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 n       phosec  n+      electr                 7.34E-01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 n2      phosec  n       n                      3.93E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 n2      phosec  n2+     electr                 1.43E-05  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 nh      phosec  n       h                      3.69E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 nh      phosec  nh+     electr                 7.10E+00  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 nh+     phosec  n+      h                      2.25E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 nh2     phosec  nh      h                      7.15E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
