#---------1---------2---------3---------4---------5---------6---------7-------------------------8
 29  co        0 1010 0000 00000 000000  0   .000E+00  -27.201  UGFAIRIUMAVXCW-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: 1994GOO; polary: 2009WOO
 30  hco       1 1010 0000 00000 000000  0   .000E+00   10.325  CFHIDWOYWUOIHU-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: 2009WOO; polary: 2009WOO; IP: 2009LID
 31  h2co      2 1010 0000 00000 000000  0   .000E+00  -26.782  WSFSSNUMVMOOMR-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: 1977FAB; polary: 2009WOO; IP: 2009LID
 32  h3co      3 1010 0000 00000 000000  0   .000E+00    3.700  NOINCHIFOUND                   ! DHf: 2010BUR; mu: JPL (methoxy radical ch3o); polary: assumed; IP: 2009LID (methoxy radical ch3o)
 33  ch3oh     4 1010 0000 00000 000000  0   .000E+00  -48.040  OKKJLVBELUTLKV-UHFFFAOYSA-N    ! DHf: 2010BUR (298K); mu: CDMS & 2009LID; polary: 2009LID; IP: 2009LID
 34  co2       0 1020 0000 00000 000000  0   .000E+00  -93.965  CURLTUGMZLYLDI-UHFFFAOYSA-N    ! DHf: 1998CHA; polary: 2009WOO; IP: 2009LID
 35  n         0 0100 0000 00000 000000  0  7.500E-05  112.529  QJGQUHMNIGDVPM-UHFFFAOYSA-N    ! DHf: 1998CHA; polary: 2009LID; IP: 2009LID
 36  nh        1 0100 0000 00000 000000  0   .000E+00   89.988  PDCKRJPYJMCOFO-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: 2009WOO; polary: 2009WOO; IP: 2009LID
 37  nh2       2 0100 0000 00000 000000  0   .000E+00   46.187  UPMDFMSOURBEJW-LKVRCSCBSA-N    ! DHf: 1998CHA; mu: 2009WOO; polary: 2009WOO; IP: 2009LID
 38  nh3       3 0100 0000 00000 000000  0   .000E+00   -9.299  QGZKDVFQNNGYKY-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: JPL & 2009LID; polary: 2009LID; IP: 2009LID
 39  n2        0 0200 0000 00000 000000  0   .000E+00     .000  IJGRMHOSHXDMSA-UHFFFAOYSA-N    ! polary: 2009WOO; IP: 2009LID
 40  cn        0 1100 0000 00000 000000  0   .000E+00  104.398  JEVCWSUVFOYBFI-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: 1968THO; polary: 2009WOO; IP: 2009LID
 41  hcn       1 1100 0000 00000 000000  0   .000E+00   32.392  LELOWRISYMNNSU-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: 1984EBE; polary: 2009WOO; IP: 2009LID
 42  hnc       1 1100 0000 00000 000000  0   .000E+00   46.367  QIUBLANJVAOHHY-UHFFFAOYSA-N    ! DHf: 2010BUR; mu: 1976BLA; polary: 2009WOO; IP: 2009LID
 43  no        0 0110 0000 00000 000000  0   .000E+00   21.457  MWUXSHHQAYIFBG-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: 2009WOO; polary: 2009WOO; IP: 2009LID
 44  hno       1 0110 0000 00000 000000  0   .000E+00   24.498  ODUCDPQEXGNKDN-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: 2009WOO; polary: 2009WOO; IP: 2009LID
 45  s         0 0000 0000 00000 001000  0   .000E+00   65.662  NINIDFKCEFEMDL-UHFFFAOYSA-N    ! DHf: 1998CHA; polary: 2009LID; IP: 2009LID
 46  sh        1 0000 0000 00000 001000  0   .000E+00   32.622  PXQLVRUNWNTZOS-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: 2009WOO; polary: 2009WOO; IP: 2009LID
 47  h2s       2 0000 0000 00000 001000  0   .000E+00   -4.203  RWSOTUBLDIXVET-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: 1965HUI; polary: 2009WOO; IP: 2009LID
 48  cs        0 1000 0000 00000 001000  0   .000E+00   66.228  DXHPZXWIPWDXHJ-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: 1968WIN; polary: 2009WOO; IP: 2009LID
 49  h2cs      2 1000 0000 00000 001000  0   .000E+00   28.298  NOINCHIFOUND                   ! DHf: 2010BUR; mu: 1977FAB; polary: 2009WOO; IP: NIST
 50  c2s       0 2000 0000 00000 001000  0   .000E+00  140.057  NOINCHIFOUND                   ! DHf: 2000LET; mu: 1998PAS; polary: 2009WOO; IP: 1992MAC
 51  so        0 0010 0000 00000 001000  0   .000E+00    1.202  XTQHKBHJIVJGKJ-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: 1992LOV; polary: 2009WOO; IP: 2009LID
 52  so2       0 0020 0000 00000 001000  0   .000E+00  -70.339  RAHZWNYVWXNFOC-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: 1979PAT; polary: 2009WOO; IP: 2009LID
 53  ocs       0 1010 0000 00000 001000  0   .000E+00  -33.110  JJWKPURADFRFRB-UHFFFAOYSA-N    ! DHf: 1998CHA; mu: 1985TAN; polary: 2009WOO; IP: 2009LID
 55  fe        0 0000 0000 00000 000001  0   .000E+00   98.733  XEEYBQQBJWHFJM-UHFFFAOYSA-N    ! DHf: 1998CHA; polary: 2009LID; IP: 2009LID
 64  h+        1 0000 0000 00000 000000  1   .000E+00  365.221  GPRLSGONYQIRFK-UHFFFAOYSA-N    ! DHf: 1998CHA
 65  h2+       2 0000 0000 00000 000000  1   .000E+00  355.726  ZZIJOQHRUPVPQC-UHFFFAOYSA-N    ! DHf: 1998CHA
 66  h3+       3 0000 0000 00000 000000  1   .000E+00  264.579  QWLPJNYQVKBMAN-UHFFFAOYSA-N    ! DHf: 1988LIA
 67  he+       0 0001 0000 00000 000000  1   .000E+00  566.999  QLNXTEZOQCZJBA-UHFFFAOYSA-N    ! DHf: 1998CHA
 68  heh+      1 0001 0000 00000 000000  1   .000E+00  323.136  HSFAAVLNFOAYQX-UHFFFAOYSA-N    ! DHf: udfa2012 (???K)
 69  c+        0 1000 0000 00000 000000  1   .000E+00  429.646  GKDCRJWYAGBLFY-UHFFFAOYSA-N    ! DHf: 1998CHA
 70  ch+       1 1000 0000 00000 000000  1   .000E+00  386.520  WVVLBIYUCXYYEU-UHFFFAOYSA-N    ! DHf: 1998CHA
 71  ch2+      2 1000 0000 00000 000000  1   .000E+00  331.262  CCOXZMOGYFFTRT-UHFFFAOYSA-N    ! DHf: 1988LIA
 72  ch3+      3 1000 0000 00000 000000  1   .000E+00  262.756  NOINCHIFOUND                   ! DHf: 2010BUR
 73  ch4+      4 1000 0000 00000 000000  1   .000E+00  272.467  NOINCHIFOUND                   ! DHf: 1988LIA
 74  ch5+      5 1000 0000 00000 000000  1   .000E+00  216.300  NOINCHIFOUND                   ! DHf: 1988LIA (298K)
 75  c2+       0 2000 0000 00000 000000  1   .000E+00  476.099  ADIRGMFQWJHVBM-UHFFFAOYSA-N    ! DHf: 1988LIA
 76  c2h+      1 2000 0000 00000 000000  1   .000E+00  403.681  UAYUAPRVBCKABF-UHFFFAOYSA-N    ! DHf: 1988LIA
 77  c2h2+     2 2000 0000 00000 000000  1   .000E+00  317.519  NOINCHIFOUND                   ! DHf: 1988LIA
 78  c2h3+     3 2000 0000 00000 000000  1   .000E+00  267.902  NOINCHIFOUND                   ! DHf: 1988LIA
 79  c2h4+     4 2000 0000 00000 000000  1   .000E+00  256.692  NOINCHIFOUND                   ! DHf: 1988LIA
 80  c2h5+     5 2000 0000 00000 000000  1   .000E+00  218.451  NOINCHIFOUND                   ! DHf: 1988LIA
 81  c3+       0 3000 0000 00000 000000  1   .000E+00  478.967  PNCCOGRYBZMOKI-UHFFFAOYSA-N    ! DHf: 1988LIA (298K)
 82  c3h+      1 3000 0000 00000 000000  1   .000E+00  380.736  NOINCHIFOUND                   ! DHf: 1988LIA (298K)
 83  c-c3h2+   2 3000 0000 00000 000000  1   .000E+00  321.941  NOINCHIFOUND                   ! DHf: 1990PRO (298K)
 84  c3h2+     2 3000 0000 00000 000000  1   .000E+00  333.891  NOINCHIFOUND                   ! DHf: 1990PRO (298K)
 85  c-c3h3+   3 3000 0000 00000 000000  1   .000E+00  256.931  NOINCHIFOUND                   ! DHf: 1988LIA (298K)
 86  c3h3+     3 3000 0000 00000 000000  1   .000E+00  281.788  NOINCHIFOUND                   ! DHf: 1988LIA (298K) ch2cch+
 87  p-c3h4+   4 3000 0000 00000 000000  1   .000E+00  285.492  NOINCHIFOUND                   ! DHf: 1988LIA ch3cch+
 88  a-c3h4+   4 3000 0000 00000 000000  1   .000E+00  271.033  NOINCHIFOUND                   ! DHf: 1988LIA ch2cch2+
 89  c3h5+     5 3000 0000 00000 000000  1   .000E+00  228.896  NOINCHIFOUND                   ! DHf: 1988LIA ch2chch2+
 90  c4+       0 4000 0000 00000 000000  1   .000E+00  522.706  NOINCHIFOUND                   ! DHf: 1988LIA (298K)
 91  c4h+      1 4000 0000 00000 000000  1   .000E+00  431.405  NOINCHIFOUND                   ! DHf: 2000LET
 92  c4h2+     2 4000 0000 00000 000000  1   .000E+00  339.866  NOINCHIFOUND                   ! DHf: 1988LIA (298K)
